timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/12/15 06:02:10.710, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:11.713, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:12.715, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:13.716, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:14.718, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:15.720, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:16.722, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:17.724, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:18.726, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:19.728, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:20.730, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:21.731, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:22.733, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:23.735, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:24.737, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:25.739, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:26.741, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:27.743, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:28.745, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:29.746, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:30.748, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:31.749, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:32.750, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:33.752, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:34.754, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:35.755, 0 %, 0 %, 69273 MiB
2025/12/15 06:02:36.757, 2 %, 1 %, 69273 MiB
2025/12/15 06:02:37.758, 89 %, 46 %, 69273 MiB
2025/12/15 06:02:38.760, 87 %, 45 %, 69273 MiB
2025/12/15 06:02:39.761, 89 %, 46 %, 69273 MiB
2025/12/15 06:02:40.763, 78 %, 40 %, 69273 MiB
2025/12/15 06:02:41.764, 89 %, 46 %, 69273 MiB
2025/12/15 06:02:42.765, 89 %, 46 %, 69273 MiB
2025/12/15 06:02:43.767, 89 %, 45 %, 69273 MiB
2025/12/15 06:02:44.768, 88 %, 45 %, 69273 MiB
2025/12/15 06:02:45.770, 79 %, 40 %, 69273 MiB
2025/12/15 06:02:46.772, 89 %, 46 %, 69273 MiB
2025/12/15 06:02:47.774, 99 %, 50 %, 69273 MiB
2025/12/15 06:02:48.776, 99 %, 51 %, 69273 MiB
