framework,model,max_tokens,prompt_len_chars,trial,latency_s,gen_tokens,tokens_per_sec
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,0,8.431182146072388,28,3.321005229740366
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,1,0.10555458068847656,28,265.2656077772357
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,2,0.09560227394104004,28,292.8800628452436
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,3,0.09654927253723145,28,290.00736374479266
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,4,0.09743928909301758,28,287.358418361105
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,0,0.18875646591186523,64,339.06123263551183
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,1,0.1884324550628662,64,339.64425066078906
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,2,0.18757081031799316,64,341.20447574704883
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,3,0.18738174438476562,64,341.5487469717636
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,4,0.18737459182739258,64,341.5617847427046
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,0,0.1881730556488037,64,340.1124554168171
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,1,0.18810701370239258,64,340.2318645133324
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,2,0.18752336502075195,64,341.2908039108489
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,3,0.18744969367980957,64,341.4249377719496
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,4,0.18785691261291504,64,340.68482820152576
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,0,0.18801403045654297,64,340.4001278234008
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,1,0.18731474876403809,64,341.6709064411224
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,2,0.18762731552124023,64,341.101719769342
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,3,0.18885064125061035,64,338.89215083506184
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,4,0.18732810020446777,64,341.6465545219553
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,0,0.09546303749084473,28,293.3072394924089
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,1,0.09585142135620117,28,292.11877720568117
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,2,0.09525108337402344,28,293.9599110915317
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,3,0.09521937370300293,28,294.05780474186173
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,4,0.09672284126281738,28,289.48694676904495
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,0,0.24137091636657715,85,352.15510335515313
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,1,0.24147844314575195,85,351.998293896137
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,2,0.2417583465576172,85,351.59075668042067
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,3,0.24138450622558594,85,352.1352771522263
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,4,0.24152302742004395,85,351.9333162886061
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,57,0,0.3526918888092041,128,362.92300464342185
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,57,1,0.35305118560791016,128,362.55366138935335
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,57,2,0.3522522449493408,128,363.3759666128127
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,57,3,0.35250043869018555,128,363.1201154688487
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,57,4,0.35289788246154785,128,362.7111591239061
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,72,0,0.35384631156921387,128,361.73896919358634
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,72,1,0.3526947498321533,128,362.9200606499386
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,72,2,0.3530087471008301,128,362.5972473804999
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,72,3,0.35394811630249023,128,361.6349236073034
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,72,4,0.35255956649780273,128,363.05921655028396
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,40,0,0.09537386894226074,28,293.58146325123056
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,40,1,0.09510302543640137,28,294.41755266476304
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,40,2,0.09476828575134277,28,295.45749169155215
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,40,3,0.09578800201416016,28,292.31218327177146
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,40,4,0.0948641300201416,28,295.1589815249982
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,81,0,0.24100375175476074,85,352.6916049277682
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,81,1,0.24128222465515137,85,352.2845502667461
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,81,2,0.24123811721801758,85,352.34896118502587
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,81,3,0.24132680892944336,85,352.21946694223857
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,81,4,0.24150443077087402,85,351.9604163314224
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,57,0,0.6857712268829346,256,373.30233460451205
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,57,1,0.6869697570800781,256,372.6510481161674
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,57,2,0.6870646476745605,256,372.59958122784775
SGLang,TinyLlama/TinyLlama-1.1B-Chat-v1.0,256,57,3,0.6872541904449463,256,372.4968193126024
