timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/12/15 05:16:20.302, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:21.303, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:22.303, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:23.305, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:24.306, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:25.308, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:26.310, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:27.312, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:28.312, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:29.314, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:30.315, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:31.317, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:32.319, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:33.321, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:34.322, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:35.324, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:36.326, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:37.327, 73 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:38.329, 76 %, 39 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:39.330, 73 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:40.331, 73 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:41.333, 73 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:42.335, 72 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:43.337, 75 %, 39 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:44.338, 76 %, 39 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:45.340, 73 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:46.341, 75 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:47.343, 74 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:48.344, 69 %, 36 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:49.346, 70 %, 36 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:50.348, 72 %, 37 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:51.350, 75 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:52.361, 73 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:53.363, 73 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:54.365, 71 %, 36 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:55.366, 73 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:56.367, 74 %, 38 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:57.368, 76 %, 39 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:58.370, 76 %, 39 %, 74119 MiB, 81920 MiB
2025/12/15 05:16:59.371, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:00.373, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:01.373, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:02.375, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:03.376, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:04.378, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:05.380, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:06.382, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:07.382, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:08.383, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:09.384, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:10.385, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:11.386, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:12.388, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:13.388, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:14.389, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:15.390, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:16.392, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:17.393, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:18.394, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:19.396, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:20.398, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:21.399, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:22.401, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:23.403, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:24.404, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:25.406, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:26.406, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:27.408, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:28.409, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:29.410, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:30.411, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:31.413, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:32.414, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:33.416, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:34.417, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:35.419, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:36.420, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:37.420, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:38.421, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:39.422, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:40.423, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:41.424, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:42.425, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:43.425, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:44.426, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:45.427, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:46.428, 0 %, 0 %, 74119 MiB, 81920 MiB
2025/12/15 05:17:47.429, 0 %, 0 %, 74119 MiB, 81920 MiB
