framework,model,max_tokens,prompt_len_chars,trial,latency_s,gen_tokens,tokens_per_sec
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,0,0.19291400909423828,52,269.5501495414885
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,1,0.1804971694946289,52,288.0931603835891
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,2,0.17978572845458984,52,289.23319134941306
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,3,0.18054604530334473,52,288.0151703828911
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,40,4,0.1810472011566162,52,287.2179170282617
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,0,0.22193360328674316,64,288.3745365829553
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,1,0.2209763526916504,64,289.6237503263771
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,2,0.22061395645141602,64,290.0995069824342
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,3,0.22124743461608887,64,289.26889078308886
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,81,4,0.22014498710632324,64,290.7174986868539
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,0,0.22055387496948242,64,290.1785335163826
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,1,0.2202010154724121,64,290.6435279723687
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,2,0.22022223472595215,64,290.61552335822296
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,3,0.22068142890930176,64,290.0108102268246
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,57,4,0.22202610969543457,64,288.2543863322756
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,0,0.22086238861083984,64,289.77319498598825
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,1,0.2204742431640625,64,290.2833414077099
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,2,0.22136330604553223,64,289.1174745413128
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,3,0.22154927253723145,64,288.87479190095183
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,72,4,0.22067785263061523,64,290.01551010706686
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,0,0.18039178848266602,52,288.2614582259476
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,1,0.18102097511291504,52,287.25952872347574
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,2,0.18166327476501465,52,286.2438765747404
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,3,0.18041586875915527,52,288.2229836967223
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,40,4,0.18070578575134277,52,287.7605704974701
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,0,0.2897026538848877,85,293.40428491129546
vLLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,128,81,1,0.29241275787353516,85,290.6849913736029
